State,Date,Work Search,Benefit Year Earnings,Separation Issues,Able + Available ,Employment Service Registration,Base Period Wages,Other Eligibility Issues,All Other Causes,First Payment Timeliness (14 days),First Payment Timeliness (21 days),Improper Payment Rate,Fraud Rate,Nonmonetary Determination
FL,6/30/2025,1143,1652,343,1291,1249,1731,695,1110,46.3,30.1,5,16,68
GA,6/30/2025,1049,205,915,911,879,1466,387,735,75.4,71.2,9,6,63
HI,6/30/2025,1341,971,763,683,1650,1333,1478,1043,68.1,34.2,8,9,65
IA,6/30/2025,396,1052,1740,475,1640,1646,1070,1526,93.5,97.3,5,5,83
ID,6/30/2025,338,1593,1658,1234,219,1734,627,787,94,88,11,20,59
IL,6/30/2025,219,1053,541,434,1694,1251,1111,1706,85.9,86.4,11,10,92
IN,6/30/2025,444,1490,360,891,640,1648,837,664,83.6,74.6,7,4,57
KS,6/30/2025,589,1609,1769,855,1634,1578,449,849,68.1,57.7,3,15,77
KY,6/30/2025,443,1272,237,329,496,906,1568,1475,61.6,41.7,14,7,71
LA,6/30/2025,654,369,315,845,364,394,735,606,67,70.1,7,7,66
MA,6/30/2025,1331,598,524,1572,1710,1518,1341,837,64.3,50.7,4,15,64
MD,6/30/2025,840,236,1541,1549,1577,1069,1793,1575,66.6,45.3,3,22,90
ME,6/30/2025,687,1440,369,1182,908,366,524,970,84,77.7,8,22,87
MI,6/30/2025,251,200,290,1212,767,1254,1523,1585,85,83.1,19,22,75
MN,6/30/2025,1108,1573,893,725,1051,627,1362,731,90.2,84.3,22,16,53
MO,6/30/2025,719,1596,630,570,907,470,1671,845,83.1,75.5,18,18,81
MS,6/30/2025,1531,1789,949,1496,1711,955,393,769,83.9,90.9,21,20,89
MT,6/30/2025,217,636,1797,534,1474,1436,614,1688,74.7,77,11,6,53
NC,6/30/2025,1048,1190,689,647,1240,1670,422,585,70.7,79,12,20,54
ND,6/30/2025,484,774,363,359,1301,513,1107,241,98.5,97.4,5,6,54
NE,6/30/2025,288,701,1440,1128,1395,1624,798,613,92,97.1,10,6,52
NH,6/30/2025,1423,1758,1778,948,268,250,949,760,72.2,83.2,21,7,69
NJ,6/30/2025,1418,354,628,579,1340,901,1299,1161,78.4,75.1,5,19,77
NM,6/30/2025,1703,1139,1197,1084,1568,303,287,878,67.8,38.2,14,20,72
NV,6/30/2025,1654,1031,419,1186,905,1659,1124,1760,66.5,20.4,15,19,73
NY,6/30/2025,649,1657,1175,1622,975,857,489,971,68.6,48.5,17,22,54
OH,6/30/2025,433,1722,313,275,1410,1392,1751,977,75.3,78.4,9,19,92
OK,6/30/2025,1052,1358,1396,1122,287,696,1788,1714,87.9,85.8,10,16,90
OR,6/30/2025,1800,359,903,736,844,1137,1411,1354,75.1,77.4,22,9,74
PA,6/30/2025,368,836,602,1083,1786,409,878,1605,75.6,60.7,18,15,85
PR,6/30/2025,270,343,1305,1647,501,806,1575,1234,69.2,68,16,17,61
RI,6/30/2025,1413,1589,563,544,972,452,297,1737,89.3,64.4,15,12,75
SC,6/30/2025,1120,672,1503,1225,1478,1268,619,1639,91.6,95.5,13,21,87
SD,6/30/2025,1128,1171,542,1498,1648,889,1584,1750,93.3,89.1,19,22,68
TN,6/30/2025,1002,1166,406,1333,515,961,289,1635,89.6,76.4,5,18,94
TX,6/30/2025,1276,1097,1654,1688,1207,1261,1062,223,73.5,71.4,21,17,56
US,6/30/2025,339,1135,674,474,1469,1437,1133,1090,76.1,69,16,22,62
UT,6/30/2025,1443,611,1526,619,538,507,704,216,87.4,94.4,18,9,80
VA,6/30/2025,843,935,1651,1710,1303,1579,1492,443,82.8,84.6,11,16,52
VI,6/30/2025,1488,1746,230,1547,291,443,1314,1448,62.6,61,4,22,79
VT,6/30/2025,753,1561,1474,535,1273,1277,631,235,70,23.2,12,7,59
WA,6/30/2025,350,1120,1360,1285,779,1331,1278,261,68.1,49.9,15,7,87
WI,6/30/2025,1339,457,1716,1797,1293,1106,1111,944,86.1,91,7,21,69
WV,6/30/2025,1097,1008,719,356,753,1759,382,1660,83.7,95.7,18,22,70
WY,6/30/2025,584,1332,622,1135,604,926,1511,678,92.2,89,4,18,91
